id,name_ar,name_en,muscle,equipment,category,note
"ankle-mobility","مرونة الكاحل","Ankle Mobility Drill","calves","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"assault-bike","الدراجة الهوائية (أسولت)","Assault Bike","cardio","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"banded-lateral-walk","مشي جانبي بالمطاط","Banded Lateral Walk","glutes","band","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"battle-ropes","حبال القتال","Battle Ropes","cardio","rope","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"belt-squat","سكوات بالحزام","Belt Squat","quads","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"bicycle-crunch","كرنش الدراجة","Bicycle Crunch","core","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"burpees","بيربي","Burpees","cardio","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"cable-hip-adduction","ضم الفخذ كيبل","Cable Hip Adduction","glutes","cable","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"cable-shoulder-press","ضغط كتف كيبل","Cable Shoulder Press","shoulders","cable","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"cable-woodchop","قطع الخشب كيبل","Cable Woodchop","core","cable","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"chest-supported-row","تجديف بإسناد الصدر","Chest-Supported Row","back","dumbbell + bench","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"dumbbell-sumo-squat","سكوات سومو دمبل","Dumbbell Sumo Squat","quads","dumbbell","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"elliptical","الإليبتيكال","Elliptical","cardio","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"frog-pump","ضخّ الضفدع للجلوت","Frog Pump","glutes","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"high-knees","رفع الركب (جري ثابت)","High Knees","cardio","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"hollow-hold","ثبات الجسم المقعّر","Hollow Body Hold","core","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
