id	nameAr	nameEn	primaryMuscle	primaryDetailed	secondaryDetailed	equipment	movementPattern	level	environment	stepsAr	stepsEn	mistakesAr	mistakesEn	safetyAr	safetyEn	tipsAr	alternatives	imageStatus	hasMachineSvg	imageLicense	videoStatus	videoConfidence
barbell-bench-press	بنش بريس بار	Barbell Bench Press	chest	chest_mid|triceps|front_delts	chest_upper	barbell|bench	push	intermediate	gym	5	5	3	3	1	1	3	0	stills	false	Unlicense / public-domain dedication	APPROVED	high
incline-barbell-press	بنش مائل بار	Incline Barbell Press	chest	chest_upper|front_delts|triceps	chest_mid	barbell|bench	push	intermediate	gym	5	5	3	3	1	1	3	0	stills	false	Unlicense / public-domain dedication	APPROVED	high
dumbbell-bench-press	بنش بريس دمبل	Dumbbell Bench Press	chest	chest_mid|triceps|front_delts	chest_upper	dumbbell|bench	push	beginner	gym	5	5	3	3	1	1	3	0	stills	false	Unlicense / public-domain dedication	APPROVED	high
incline-dumbbell-press	بنش مائل دمبل	Incline Dumbbell Press	chest	chest_upper|front_delts|triceps	chest_mid	dumbbell|bench	push	beginner	gym	5	5	3	3	1	1	3	0	stills	false	Unlicense / public-domain dedication	APPROVED	high
chest-press-machine	جهاز ضغط الصدر	Chest Press Machine	chest	chest_mid|triceps	front_delts	machine	push	beginner	gym	5	5	3	3	1	1	3	2	placeholder-only	false		APPROVED	medium
iso-lateral-chest-press	ضغط صدر أيزو-لاترال	Iso-Lateral Chest Press	chest	chest_mid|triceps	front_delts	machine	push	beginner	gym	5	5	3	3	1	1	3	2	placeholder-only	true		NEEDS_REVIEW	
incline-chest-press-machine	جهاز ضغط صدر علوي	Incline Chest Press Machine	chest	chest_upper|front_delts	triceps	machine	push	beginner	gym	5	5	3	3	1	1	3	2	placeholder-only	false		NEEDS_REVIEW	
iso-lateral-incline-press	ضغط علوي أيزو-لاترال	Iso-Lateral Incline Press	chest	chest_upper|front_delts	triceps	machine	push	beginner	gym	5	5	3	3	1	1	3	2	placeholder-only	true		NEEDS_REVIEW	
pec-deck-machine	جهاز فلاي صدر	Pec Deck Machine	chest	chest_mid	front_delts	machine	isolation	beginner	gym	5	5	3	3	1	1	3	0	stills	true	Unlicense / public-domain dedication	APPROVED	medium
cable-crossover	تفتيح كيبل	Cable Crossover	chest	chest_mid|chest_lower	front_delts	cable	isolation	intermediate	gym	5	5	3	3	1	1	3	0	stills	false	Unlicense / public-domain dedication	APPROVED	high
dumbbell-fly	تفتيح دمبل	Dumbbell Fly	chest	chest_mid	front_delts	dumbbell|bench	isolation	beginner	gym	5	5	3	3	1	1	3	0	stills	false	Unlicense / public-domain dedication	APPROVED	high
push-up	ضغط (تمرين الجسم)	Push-Up	chest	chest_mid|triceps	front_delts|abs	bodyweight	push	beginner	both	5	5	3	3	1	1	3	0	stills	false	Unlicense / public-domain dedication	APPROVED	high
